stop_name;stop_lon;stop_lat;shortName;mode;Pointgeo;Nom_commune;code postal
Rue Froide;2.3004400215630825;48.797378877543686;188;Bus;48.797378877543686, 2.3004400215630825;Bagneux;92007
Dampierre;2.300223823775149;48.79522803506996;188;Bus;48.79522803506996, 2.300223823775149;Bagneux;92007
Les Bas Coquarts;2.311506265777744;48.78617356788379;188;Bus;48.78617356788379, 2.311506265777744;Bourg-la-Reine;92014
Cosson - Longuet;2.3181307153099278;48.80002641811706;188;Bus;48.80002641811706, 2.3181307153099273;Bagneux;92007
Martyrs de Chateaubriant - Mï¿½tro;2.3187471794152987;48.80181973738839;188;Bus;48.801819737388385, 2.3187471794152987;Bagneux;92007
Vache Noire;2.3267704460351224;48.811003037754425;188;Bus;48.811003037754425, 2.3267704460351224;Montrouge;92049
Martyrs de Chateaubriant - Mï¿½tro / Bagneux Lucie Aubrac;2.3185028318213305;48.80176438059525;188;Bus;48.80176438059525, 2.3185028318213305;Bagneux;92007
Clï¿½menceau;2.3085821315773747;48.78497845380062;188;Bus;48.78497845380062, 2.3085821315773747;Bagneux;92007
Dampierre;2.3015254256303272;48.79562239328548;188;Bus;48.79562239328548, 2.3015254256303272;Bagneux;92007
Rosenberg;2.302629406164097;48.79756255885172;188;Bus;48.79756255885172, 2.302629406164097;Bagneux;92007
Plessis - Piquet;2.2678773097865537;48.79821816552895;189;Bus;48.79821816552895, 2.2678773097865537;Clamart;92023
Rue de Chï¿½tillon;2.283254624337629;48.817531484258765;189;Bus;48.817531484258765, 2.283254624337629;Vanves;92075
Corentin Celton - Mï¿½tro;2.278884836029885;48.82723656585314;189;Bus;48.82723656585314, 2.2788848360298846;Issy-les-Moulineaux;92040
Le Jour se Lï¿½ve;2.260710981977907;48.83413177889077;189;Bus;48.83413177889077, 2.260710981977907;Boulogne-Billancourt;92012
Issy-Val de Seine;2.263248448806642;48.829065937858815;189;Bus;48.829065937858815, 2.263248448806642;Issy-les-Moulineaux;92040
Prï¿½sident Robert Schuman;2.268089877796858;48.82770162244602;189;Bus;48.82770162244602, 2.268089877796858;Issy-les-Moulineaux;92040
Lazare - Carnot;2.2688907240775835;48.8094489032186;189;Bus;48.809448903218595, 2.2688907240775835;Clamart;92023
Hï¿½pital Percy;2.257601298943347;48.81429003382332;190;Bus;48.81429003382332, 2.257601298943347;Clamart;92023
Jardin Parisien - Coquelicots;2.258546403080172;48.79092039234471;190;Bus;48.79092039234471, 2.258546403080172;Clamart;92023
ï¿½le de France;2.2407652457094462;48.785547156065306;190;Bus;48.785547156065306, 2.2407652457094462;Clamart;92023
Picardie;2.2425893002786803;48.784596353239934;190;Bus;48.784596353239934, 2.2425893002786803;Clamart;92023
Mail de la Plaine;2.2459647346577025;48.78365532251146;190;Bus;48.78365532251146, 2.2459647346577025;Clamart;92023
Petit Clamart - RD 906;2.232796025761463;48.777680265762775;190;Bus;48.777680265762775, 2.232796025761463;Clamart;92023
Plessis - Piquet;2.2678773097865537;48.79821816552895;190;Bus;48.79821816552895, 2.2678773097865537;Clamart;92023
Mairie de Clamart;2.2636036440582186;48.80006267554255;190;Bus;48.80006267554255, 2.2636036440582186;Clamart;92023
Place Hunebelle;2.26095256179187;48.800756843036055;190;Bus;48.800756843036055, 2.26095256179187;Clamart;92023
D'Estienne d'Orves;2.258667715988845;48.80920606631355;190;Bus;48.80920606631355, 2.258667715988845;Clamart;92023
