route_id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;OperatorName;shortName;mode;Pointgeo;Nom_commune;Code_insee
IDFM:C01393;N52;IDFM:7883;Solf�rino;2.2653817424257032;48.93288086785108;RATP;N52;Bus;48.93288086785108, 2.2653817424257032;Colombes;92025
IDFM:C01393;N52;IDFM:7886;Petit Gennevilliers;2.2587826126060553;48.937165849628414;RATP;N52;Bus;48.937165849628414, 2.2587826126060553;Gennevilliers;92036
IDFM:C01393;N52;IDFM:427969;Pont du Chemin de Fer;2.2634693596374325;48.933948286543114;RATP;N52;Bus;48.933948286543114, 2.2634693596374325;Colombes;92025
IDFM:C01393;N52;IDFM:36563;Solf�rino;2.266753070850673;48.931459382627715;RATP;N52;Bus;48.931459382627715, 2.266753070850673;Colombes;92025
IDFM:C01393;N52;IDFM:27986;Quatre Routes;2.2737891824684944;48.926079448991004;RATP;N52;Bus;48.926079448991004, 2.2737891824684944;Bois-Colombes;92009
IDFM:C01393;N52;IDFM:8074;La Paix;2.272112328698602;48.91619489217675;RATP;N52;Bus;48.91619489217675, 2.272112328698602;Bois-Colombes;92009
IDFM:C01393;N52;IDFM:27275;Balzac;2.2693526611887824;48.90865983074877;RATP;N52;Bus;48.90865983074877, 2.2693526611887824;Asni�res-sur-Seine;92004
IDFM:C01393;N52;IDFM:36824;Place Mermoz;2.27495343247361;48.90227272534423;RATP;N52;Bus;48.90227272534423, 2.27495343247361;Courbevoie;92026
IDFM:C01394;N51;IDFM:39810;Gabriel P�ri - M�tro;2.2950159570609063;48.91666460021157;RATP;N51;Bus;48.91666460021157, 2.2950159570609063;Asni�res-sur-Seine;92004
IDFM:C01394;N51;IDFM:12417;Les Agnettes - M�tro;2.286342116760934;48.9233040807393;RATP;N51;Bus;48.9233040807393, 2.286342116760934;Gennevilliers;92036
IDFM:C01394;N51;IDFM:39734;Les Courtilles;2.285097034017622;48.930491059562975;RATP;N51;Bus;48.930491059562975, 2.285097034017622;Gennevilliers;92036
IDFM:C01394;N51;IDFM:34148;Timbaud - F�licie;2.3013889831823806;48.93287134975331;RATP;N51;Bus;48.93287134975331, 2.3013889831823806;Gennevilliers;92036
IDFM:C01394;N51;IDFM:37441;Parc des Chanteraines;2.312882993875364;48.933810113488384;RATP;N51;Bus;48.933810113488384, 2.312882993875364;Gennevilliers;92036
IDFM:C01394;N51;IDFM:26654;Les Agnettes - M�tro;2.2860282641357252;48.92330221102584;RATP;N51;Bus;48.92330221102584, 2.2860282641357252;Asni�res-sur-Seine;92004
IDFM:C01394;N51;IDFM:34146;Gillet;2.2888839032238857;48.920054718913754;RATP;N51;Bus;48.920054718913754, 2.2888839032238857;Gennevilliers;92036
IDFM:C01394;N51;IDFM:15142;Gabriel P�ri - M�tro;2.2944429074459873;48.916661226798574;RATP;N51;Bus;48.916661226798574, 2.2944429074459873;Asni�res-sur-Seine;92004
IDFM:C01394;N51;IDFM:427359;Place Voltaire;2.296235531562702;48.91224716877279;RATP;N51;Bus;48.91224716877279, 2.296235531562702;Asni�res-sur-Seine;92004
IDFM:C01394;N51;IDFM:24233;Mairie de Clichy;2.304060470490796;48.90254431547787;RATP;N51;Bus;48.90254431547787, 2.304060470490796;Clichy;92024
IDFM:C01401;N21;IDFM:39614;Petit Chambord - Lyc�e Lakanal;2.313502055541738;48.77724486802774;RATP;N21;Bus;48.77724486802774, 2.313502055541738;Bourg-la-Reine;92014
IDFM:C01401;N21;IDFM:22882;Morteaux;2.307574920272586;48.760364423153774;RATP;N21;Bus;48.760364423153774, 2.307574920272586;Antony;92002
IDFM:C01401;N21;IDFM:22881;Fernand Fenzy;2.3064821757351037;48.75762380552539;RATP;N21;Bus;48.75762380552539, 2.3064821757351037;Antony;92002
IDFM:C01401;N21;IDFM:427525;Blanche de Castille;2.303312270993296;48.744392583840714;RATP;N21;Bus;48.744392583840714, 2.303312270993296;Antony;92002
IDFM:C01401;N21;IDFM:8201;Fernand Fenzy;2.3069915491810082;48.75819340593873;RATP;N21;Bus;48.75819340593873, 2.3069915491810082;Antony;92002
IDFM:C01402;N61;IDFM:42028;Espace Culturel - Robert Doisneau;2.233006672328336;48.78742236420225;RATP;N61;Bus;48.78742236420225, 2.233006672328336;Meudon;92048
IDFM:C01402;N61;IDFM:24667;Trivaux - Vertugadins - Lyc�e;2.234507045366527;48.803909212639134;RATP;N61;Bus;48.803909212639134, 2.234507045366527;Meudon;92048
IDFM:C01402;N61;IDFM:8098;11 Novembre;2.2274547609336643;48.821330176545395;RATP;N61;Bus;48.821330176545395, 2.2274547609336643;Meudon;92048
